DISTRICT,CUSTODIAL RAPE,OTHER IPC CRIMES,STATE/UT,OTHER RAPE,CRIMINAL BREACH OF TRUST,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,THEFT,RAPE,RIOTS,KIDNAPPING & ABDUCTION,ROBBERY,YEAR,AUTO THEFT,OTHER THEFT,ATTEMPT TO MURDER,MURDER,ARSON,TOTAL IPC CRIMES,DACOITY,COUNTERFIETING,BURGLARY,CHEATING
ADILABAD,0,1518,ANDHRA PRADESH,50,16,17,199,50,78,46,41,2001,22,177,60,101,30,4154,9,1,198,104
ANANTAPUR,0,754,ANDHRA PRADESH,23,11,1,366,23,168,53,16,2001,57,309,125,151,69,4125,8,8,191,65
CHITTOOR,0,1262,ANDHRA PRADESH,27,33,2,723,27,156,59,14,2001,164,559,57,101,38,5818,4,9,237,209
CUDDAPAH,0,1181,ANDHRA PRADESH,20,12,1,173,20,164,25,4,2001,36,137,53,80,23,3140,1,2,98,37
EAST GODAVARI,0,2313,ANDHRA PRADESH,23,50,1,1021,23,70,49,25,2001,150,871,67,82,41,6507,4,3,437,220
GUNTAKAL RLY.,0,104,ANDHRA PRADESH,0,0,0,162,0,1,0,2,2001,0,162,1,3,0,287,5,3,0,0
GUNTUR,0,2426,ANDHRA PRADESH,54,67,2,1122,54,244,82,59,2001,171,951,88,182,43,7848,16,8,338,300
HYDERABAD CITY,0,1512,ANDHRA PRADESH,37,101,7,2792,37,65,80,67,2001,1128,1664,113,111,0,11831,13,24,1155,1293
KARIMNAGAR,0,1726,ANDHRA PRADESH,56,25,6,392,56,220,67,50,2001,54,338,85,162,33,5811,27,5,218,243
KHAMMAM,0,1450,ANDHRA PRADESH,47,35,1,368,47,153,41,13,2001,34,334,60,93,73,4582,1,5,172,130
KRISHNA,0,862,ANDHRA PRADESH,37,24,0,478,37,70,36,15,2001,27,451,51,65,62,4779,3,1,163,104
KURNOOL,0,1401,ANDHRA PRADESH,29,6,4,297,29,84,47,22,2001,6,291,72,133,5,4581,6,2,155,126
MAHABOOBNAGAR,0,2158,ANDHRA PRADESH,59,22,26,316,59,157,42,27,2001,33,283,67,157,0,4819,8,0,249,84
MEDAK,0,454,ANDHRA PRADESH,35,17,12,286,35,100,26,26,2001,36,250,56,101,37,3532,27,4,219,87
NALGONDA,0,1781,ANDHRA PRADESH,35,13,1,318,35,220,27,28,2001,43,275,60,122,72,5002,6,8,133,122
NELLORE,0,1585,ANDHRA PRADESH,46,20,5,608,46,97,90,16,2001,72,536,69,89,65,5245,12,3,244,177
NIZAMABAD,0,787,ANDHRA PRADESH,21,61,14,234,21,51,38,22,2001,48,186,49,106,30,3621,7,1,158,122
PRAKASHAM,0,808,ANDHRA PRADESH,19,16,3,278,19,138,31,14,2001,33,245,82,102,43,3678,15,1,147,88
RANGA REDDY,0,2103,ANDHRA PRADESH,72,67,16,1296,72,65,106,78,2001,347,949,95,214,67,9867,24,3,1076,527
SECUNDERABAD RLY.,0,68,ANDHRA PRADESH,0,2,0,296,0,1,0,10,2001,0,296,0,6,0,439,0,25,2,4
SRIKAKULAM,0,926,ANDHRA PRADESH,8,18,4,231,8,70,12,4,2001,1,230,10,38,34,2572,1,0,118,53
VIJAYAWADA,0,724,ANDHRA PRADESH,25,34,5,2057,25,19,70,27,2001,264,1793,44,53,17,6733,3,10,491,614
VIJAYAWADA RLY.,0,25,ANDHRA PRADESH,1,2,0,265,1,1,0,1,2001,0,265,1,2,0,320,0,6,0,3
VISAKHA RURAL,0,685,ANDHRA PRADESH,12,19,0,165,12,138,12,3,2001,0,165,29,58,31,3183,4,3,76,39
VISAKHAPATNAM,0,928,ANDHRA PRADESH,13,37,1,630,13,9,13,5,2001,172,458,10,22,15,3422,1,3,323,192
VIZIANAGARAM,0,880,ANDHRA PRADESH,8,11,1,144,8,36,8,2,2001,0,144,14,33,12,2178,0,2,99,41
WARANGAL,0,2314,ANDHRA PRADESH,53,6,5,418,53,330,81,23,2001,79,339,79,158,0,6319,2,2,266,137
WEST GODAVARI,0,1609,ANDHRA PRADESH,61,63,1,1116,61,96,41,15,2001,74,1042,58,77,32,5696,7,2,257,270
TOTAL,0,34344,ANDHRA PRADESH,871,788,136,16751,871,3001,1182,629,2001,3051,13700,1555,2602,872,130089,214,144,7220,5391
CHANGLANG,0,54,ARUNACHAL PRADESH,1,4,0,24,1,0,3,4,2001,0,24,2,11,1,163,3,0,18,3
DIBANG VALLEY,0,45,ARUNACHAL PRADESH,2,3,0,19,2,0,4,5,2001,1,18,5,3,0,139,2,0,18,0
KAMENG EAST,0,28,ARUNACHAL PRADESH,2,1,0,26,2,0,7,6,2001,0,26,1,3,1,126,1,0,8,1
KAMENG WEST,0,30,ARUNACHAL PRADESH,0,1,0,26,0,0,2,0,2001,0,26,2,4,0,103,1,0,6,4
LOHIT,0,38,ARUNACHAL PRADESH,2,5,1,31,2,3,6,8,2001,0,31,6,16,2,190,2,0,20,2
PAPUM PARE,0,129,ARUNACHAL PRADESH,9,12,0,109,9,9,15,29,2001,29,80,8,11,1,498,4,2,59,8
SIANG EAST,0,54,ARUNACHAL PRADESH,5,4,0,52,5,1,11,8,2001,4,48,0,7,1,243,4,0,25,4
SIANG UPPER,0,11,ARUNACHAL PRADESH,2,1,0,9,2,1,5,0,2001,0,9,1,1,2,56,0,0,5,0
SIANG WEST,0,89,ARUNACHAL PRADESH,4,5,0,72,4,2,17,10,2001,1,71,14,5,3,361,1,0,34,5
SUBANSIRI LOWER,0,44,ARUNACHAL PRADESH,2,3,1,25,2,5,6,7,2001,0,25,10,8,2,148,1,0,17,2
SUBANSIRI UPPER,0,40,ARUNACHAL PRADESH,2,2,0,20,2,2,1,5,2001,0,20,0,4,0,140,3,0,17,0
TAWANG,0,19,ARUNACHAL PRADESH,1,0,0,13,1,0,0,0,2001,1,12,0,2,0,48,0,0,3,1
TIRAP,0,37,ARUNACHAL PRADESH,1,0,1,17,1,1,6,2,2001,0,17,4,8,0,127,0,2,18,0
TOTAL,0,618,ARUNACHAL PRADESH,33,41,3,443,33,24,83,84,2001,36,407,53,83,13,2342,22,4,248,30
BARPETA,0,430,ASSAM,28,26,0,187,28,196,105,45,2001,2,185,5,64,38,1778,43,1,93,29
BONGAIGAON,0,188,ASSAM,20,4,0,92,20,87,36,25,2001,0,92,22,45,12,810,13,0,87,13
C.I.D.,0,2,ASSAM,0,0,0,1,0,0,0,0,2001,0,1,0,0,0,8,0,0,0,5
CACHAR,0,1124,ASSAM,45,29,1,359,45,533,104,42,2001,0,359,30,52,64,3462,29,4,189,33
DARRANG,0,273,ASSAM,48,21,0,185,48,100,64,29,2001,2,183,13,61,16,1454,21,0,111,25
DHEMAJI,0,126,ASSAM,42,7,0,79,42,13,31,12,2001,0,79,16,15,16,652,2,3,26,15
DHUBRI,0,204,ASSAM,43,11,0,83,43,402,69,19,2001,2,81,23,65,23,1505,53,1,79,24
DIBRUGARH,0,264,ASSAM,35,13,6,325,35,21,57,29,2001,18,307,22,110,20,1565,14,1,114,12
G.R.P.,0,110,ASSAM,1,1,0,135,1,9,3,16,2001,0,135,1,13,0,343,8,0,11,0
GOALPARA,0,100,ASSAM,35,8,0,116,35,129,43,13,2001,1,115,12,28,4,873,37,2,61,16
GOLAGHAT,0,363,ASSAM,30,3,0,211,30,26,44,27,2001,27,184,2,53,21,1166,13,0,95,20
GUWAHATI CITY,0,1308,ASSAM,37,52,12,736,37,151,129,73,2001,124,612,44,71,18,4373,38,7,227,72
HAILAKANDI,0,197,ASSAM,24,6,0,92,24,160,36,8,2001,1,91,4,18,19,820,6,0,93,14
JORHAT,0,363,ASSAM,42,21,2,230,42,30,37,27,2001,27,203,22,40,13,1190,6,5,43,23
KAMRUP,0,612,ASSAM,21,26,8,275,21,55,95,41,2001,40,235,30,37,6,2011,30,1,196,50
KARBI ANGLONG,0,200,ASSAM,5,3,3,79,5,90,38,33,2001,3,76,26,65,24,721,12,1,13,11
KARIMGANJ,0,97,ASSAM,33,9,0,114,33,271,42,5,2001,9,105,20,32,17,843,8,2,57,8
KOKRAJHAR,0,117,ASSAM,14,3,1,89,14,50,41,10,2001,0,89,27,87,6,776,14,2,42,10
LAKHIMPUR,0,422,ASSAM,64,25,1,195,64,106,72,47,2001,0,195,21,26,0,1779,15,0,124,71
MORIGAON,0,259,ASSAM,23,4,0,66,23,79,39,10,2001,3,63,9,20,5,731,15,1,84,7
N.C.HILLS,0,30,ASSAM,2,8,1,30,2,4,8,5,2001,3,27,8,17,3,187,4,0,17,3
NAGAON,0,701,ASSAM,51,32,3,491,51,267,119,33,2001,36,455,22,95,41,3202,59,6,288,35
NALBARI,0,433,ASSAM,30,14,0,119,30,4,53,39,2001,3,116,36,79,21,1194,15,3,96,18
R.P.O.,0,26,ASSAM,3,0,0,29,3,13,2,2,2001,0,29,0,11,0,101,13,0,1,1
SIBSAGAR,0,546,ASSAM,47,14,0,343,47,50,64,41,2001,35,308,24,59,21,1643,3,5,1,29
SONITPUR,0,575,ASSAM,53,22,1,356,53,85,87,21,2001,6,350,25,86,32,2309,27,1,175,21
TINSUKIA,0,245,ASSAM,41,12,1,350,41,22,62,35,2001,8,342,17,107,1,1381,34,0,100,10
TOTAL,0,9315,ASSAM,817,374,40,5367,817,2953,1480,687,2001,350,5017,481,1356,441,36877,532,46,2423,575
ARARIA,0,944,BIHAR,93,26,4,161,93,375,79,43,2001,19,142,27,47,3,2069,39,0,80,47
ARWAL,0,51,BIHAR,0,9,1,24,0,76,13,8,2001,0,24,64,37,14,591,5,0,20,7
AURANGABAD,0,867,BIHAR,16,13,0,103,16,155,24,28,2001,8,95,46,74,3,1690,19,2,137,28
BAGAHA,0,146,BIHAR,25,1,12,115,25,67,56,9,2001,0,115,67,34,6,912,1,0,7,15
BANKA,0,758,BIHAR,34,4,4,73,34,196,27,39,2001,0,73,16,93,4,1386,49,0,51,3
BEGUSARAI,0,1515,BIHAR,13,26,5,265,13,147,53,67,2001,16,249,77,124,6,2628,18,0,76,26
BETTIAH,0,782,BIHAR,20,35,20,265,20,340,84,32,2001,14,251,9,66,21,2796,8,1,93,33
BHABHUA,0,486,BIHAR,10,8,3,184,10,186,43,26,2001,1,183,25,41,21,1368,34,0,96,23
BHAGALPUR,0,1343,BIHAR,35,22,6,370,35,171,66,55,2001,25,345,73,128,13,2634,22,1,127,47
BHOJPUR,0,1217,BIHAR,22,0,0,214,22,240,46,49,2001,18,196,33,135,0,2806,32,0,114,31
BUXAR,0,800,BIHAR,8,0,0,179,8,189,34,34,2001,5,174,38,56,18,1674,49,0,76,57
DARBHANGA,0,1715,BIHAR,19,39,4,103,19,142,39,37,2001,8,95,64,53,17,2572,29,38,65,31
GAYA,0,862,BIHAR,25,57,7,416,25,417,66,114,2001,50,366,170,200,23,3182,100,0,149,79
GOPALGANJ,0,807,BIHAR,13,45,4,153,13,227,59,73,2001,25,128,92,107,6,2098,32,0,81,75
JAMALPUR RLY.,0,62,BIHAR,1,0,0,117,1,0,4,13,2001,4,113,0,7,0,225,9,0,1,3
JAMUI,0,289,BIHAR,10,10,3,81,10,134,14,14,2001,1,80,74,67,1,1046,22,1,40,7
JEHANABAD,0,694,BIHAR,6,0,2,121,6,170,35,22,2001,10,111,80,73,0,1353,15,0,53,51
KATIHAR,0,904,BIHAR,51,26,2,146,51,193,49,30,2001,13,133,47,60,1,1811,49,5,49,23
KATIHAR RLY.,0,116,BIHAR,0,0,0,221,0,9,3,19,2001,10,211,0,7,0,417,18,0,12,9
KHAGARIA,0,353,BIHAR,5,4,2,86,5,167,34,29,2001,7,79,27,72,1,895,6,0,17,6
KISHANGANJ,0,481,BIHAR,22,15,1,57,22,116,23,10,2001,10,47,15,25,8,897,19,0,34,5
LAKHISARAI,0,305,BIHAR,10,5,5,79,10,93,30,13,2001,3,76,44,61,4,754,9,0,25,6
MADHEPURA,0,550,BIHAR,11,11,7,69,11,157,49,31,2001,16,53,23,56,8,1062,17,1,13,17
MADHUBANI,0,1503,BIHAR,13,11,5,98,13,195,36,17,2001,0,98,65,35,4,2897,24,0,86,9
MOTIHARI,0,2243,BIHAR,44,46,11,271,44,365,100,79,2001,3,268,98,114,23,3881,30,6,105,103
MUNGER,0,787,BIHAR,11,0,0,157,11,218,45,29,2001,17,140,108,51,12,1758,6,0,57,29
MUZAFFARPUR,0,1867,BIHAR,73,67,21,538,73,241,113,135,2001,104,434,162,153,42,4212,32,1,118,94
MUZAFFARPUR RLY.,0,81,BIHAR,2,2,0,313,2,13,5,15,2001,24,289,3,13,1,538,4,0,8,20
NALANDA,0,1006,BIHAR,40,19,18,412,40,318,126,97,2001,14,398,249,208,13,3479,51,3,92,34
NAUGACHIA,0,193,BIHAR,7,5,0,32,7,56,29,18,2001,0,32,65,36,1,570,15,0,7,11
NAWADAH,0,555,BIHAR,15,9,5,66,15,183,42,31,2001,2,64,54,77,12,1515,16,0,37,30
PATNA,0,2825,BIHAR,27,196,30,1568,27,506,197,414,2001,399,1169,581,434,54,8583,91,12,426,331
PATNA RLY.,0,174,BIHAR,1,1,0,811,1,11,3,21,2001,19,792,21,24,0,1127,18,0,4,11
PURNEA,0,785,BIHAR,39,5,10,227,39,269,64,97,2001,27,200,89,104,7,2054,75,3,100,28
ROHTAS,0,535,BIHAR,25,37,4,317,25,391,72,68,2001,51,266,112,127,27,2961,78,2,144,52
SAHARSA,0,244,BIHAR,12,22,3,56,12,156,27,15,2001,6,50,151,36,6,1066,3,0,24,25
SAMASTIPUR,0,1261,BIHAR,19,39,20,247,19,312,75,61,2001,26,221,115,107,45,2853,33,0,94,33
SARAN,0,1087,BIHAR,20,12,0,246,20,309,65,93,2001,32,214,70,137,43,3442,69,1,96,14
SHEIKHPURA,0,408,BIHAR,3,4,1,89,3,136,16,12,2001,0,89,1,28,3,804,16,0,15,10
SHEOHAR,0,305,BIHAR,11,0,1,16,11,38,13,8,2001,0,16,0,18,0,428,7,0,5,1
SITAMARHI,0,1111,BIHAR,23,10,3,132,23,218,34,15,2001,2,130,5,51,7,1797,24,7,47,41
SIWAN,0,753,BIHAR,4,13,9,112,4,239,51,100,2001,29,83,150,116,16,1853,45,0,77,26
SUPAUL,0,1040,BIHAR,30,9,4,129,30,170,26,40,2001,9,120,61,41,0,1672,31,0,49,8
VAISHALI,0,1857,BIHAR,20,83,13,262,20,295,90,43,2001,23,239,148,110,8,4076,22,1,226,120
TOTAL,0,36667,BIHAR,888,946,250,9701,888,8606,2159,2203,2001,1050,8651,3419,3643,502,88432,1291,85,3233,1659
BALRAMPUR,0,40,CHHATTISGARH,17,0,0,21,17,15,1,11,2001,0,21,2,13,2,235,17,0,26,6
BILASPUR,0,1617,CHHATTISGARH,69,5,11,690,69,166,20,37,2001,72,618,42,99,17,4353,4,0,551,23
BIZAPUR,0,19,CHHATTISGARH,4,0,0,3,4,1,0,6,2001,3,0,13,9,6,86,2,0,9,0
DANTEWARA,0,259,CHHATTISGARH,19,1,0,64,19,14,11,5,2001,5,59,37,83,5,739,7,0,59,5
DHAMTARI,0,450,CHHATTISGARH,22,3,0,110,22,22,4,0,2001,11,99,6,14,1,996,2,0,125,12
DURG,0,3302,CHHATTISGARH,144,15,0,893,144,48,57,50,2001,208,685,66,76,35,6544,9,1,593,91
GRP RAIPUR,0,77,CHHATTISGARH,0,0,0,197,0,4,0,9,2001,5,192,1,2,0,315,2,0,8,2
JAGDALPUR,0,932,CHHATTISGARH,59,9,4,172,59,35,6,23,2001,18,154,35,80,12,1812,2,2,146,11
JANJGIR,0,471,CHHATTISGARH,29,4,0,237,29,105,9,25,2001,25,212,29,48,23,2059,2,0,193,23
JASHPUR,0,240,CHHATTISGARH,36,17,6,54,36,13,2,17,2001,8,46,16,37,8,719,5,1,88,7
KANKER,0,347,CHHATTISGARH,42,2,1,53,42,23,4,5,2001,11,42,17,31,3,760,3,0,67,9
KAWARDHA,0,236,CHHATTISGARH,35,2,2,43,35,10,1,2,2001,4,39,12,19,4,685,1,0,69,4
KORBA,0,634,CHHATTISGARH,46,6,1,305,46,67,13,8,2001,72,233,13,33,7,2112,0,0,221,47
KORIYA,0,764,CHHATTISGARH,34,3,4,153,34,21,7,6,2001,7,146,25,35,7,1644,3,0,228,9
MAHASAMUND,0,416,CHHATTISGARH,43,8,5,146,43,30,7,6,2001,21,125,20,18,10,1185,2,0,108,27
RAIGARH,0,571,CHHATTISGARH,53,39,0,173,53,34,6,13,2001,27,146,24,50,4,1650,2,0,212,17
RAIPUR,0,2518,CHHATTISGARH,104,24,10,953,104,110,38,58,2001,347,606,102,92,28,6786,10,4,793,64
RAJNANDGAON,0,1601,CHHATTISGARH,58,10,0,231,58,50,4,15,2001,38,193,27,36,11,2650,3,0,289,14
SARGUJA,0,1296,CHHATTISGARH,145,6,1,314,145,103,17,42,2001,38,276,42,105,32,3130,11,0,359,31
TOTAL,0,15790,CHHATTISGARH,959,154,45,4812,959,871,207,338,2001,920,3892,529,880,215,38460,87,8,4144,402
NORTH GOA,0,404,GOA,4,25,4,291,4,33,4,10,2001,80,211,16,22,10,1271,5,0,189,29
SOUTH GOA,0,293,GOA,8,14,1,285,8,31,5,15,2001,88,197,14,14,6,1070,2,2,170,33
TOTAL,0,697,GOA,12,39,5,576,12,64,9,25,2001,168,408,30,36,16,2341,7,2,359,62
AHMEDABAD COMMR.,0,6129,GUJARAT,39,140,60,3588,39,191,143,192,2001,1740,1848,58,90,2,13496,18,13,695,205
AHMEDABAD RURAL,0,797,GUJARAT,5,20,1,225,5,50,27,25,2001,30,195,17,26,24,2146,15,0,122,9
AHWA-DANG,0,54,GUJARAT,1,3,0,8,1,10,2,1,2001,1,7,0,6,2,147,0,0,6,4
AMRELI,0,1080,GUJARAT,2,15,0,199,2,52,39,25,2001,33,166,11,41,17,2191,4,5,127,21
ANAND,0,1896,GUJARAT,3,113,0,427,3,63,30,14,2001,87,340,16,28,22,3879,10,0,195,76
BHARUCH,0,1542,GUJARAT,4,70,0,388,4,44,39,17,2001,93,295,14,37,22,3052,13,1,150,71
BHAVNAGAR,0,3438,GUJARAT,9,154,0,561,9,113,60,48,2001,190,371,28,64,25,5088,5,3,203,103
DAHOD,0,863,GUJARAT,5,26,0,120,5,49,15,44,2001,41,79,8,36,31,1717,22,0,76,0
GANDHINAGAR,0,1879,GUJARAT,4,37,0,585,4,64,15,22,2001,167,418,11,25,5,3478,14,1,182,38
HIMATNAGAR,0,2470,GUJARAT,17,58,3,191,17,65,31,29,2001,50,141,9,55,25,4013,23,1,204,52
JAMNAGAR,0,2254,GUJARAT,20,46,2,530,20,34,27,20,2001,172,358,27,48,13,3857,2,2,204,25
JUNAGADH,0,2706,GUJARAT,14,97,0,547,14,88,46,52,2001,131,416,37,56,14,5186,4,1,252,122
KHEDA NORTH,0,2195,GUJARAT,11,54,0,358,11,63,30,19,2001,72,286,5,42,21,3851,9,1,159,63
KUTCH,0,1763,GUJARAT,2,19,18,307,2,55,24,11,2001,107,200,29,34,11,3355,8,1,133,40
MEHSANA,0,2394,GUJARAT,4,47,0,557,4,98,58,45,2001,87,470,17,28,15,5175,23,0,195,90
NARMADA,0,246,GUJARAT,8,3,0,46,8,9,9,0,2001,9,37,3,16,11,536,1,0,14,15
NAVSARI,0,867,GUJARAT,2,43,0,120,2,22,6,13,2001,37,83,6,26,6,1404,7,1,98,19
PALANPUR,0,1102,GUJARAT,18,54,0,420,18,94,41,47,2001,64,356,45,52,21,3887,13,4,212,55
PANCHMAHAL,0,1122,GUJARAT,5,53,0,313,5,50,46,19,2001,65,248,13,56,57,2535,21,2,147,34
PATAN,0,1283,GUJARAT,3,52,0,220,3,78,21,19,2001,26,194,18,24,12,2447,8,0,76,29
PORBANDAR,0,704,GUJARAT,6,38,0,116,6,8,5,3,2001,37,79,9,15,5,1215,0,0,44,15
RAJKOT COMMR.,0,1883,GUJARAT,5,56,1,1245,5,110,46,31,2001,530,715,33,29,9,4774,5,1,306,71
RAJKOT RURAL,0,2298,GUJARAT,20,172,3,378,20,58,40,23,2001,65,313,36,30,21,4402,9,3,198,44
SURAT COMMR.,0,823,GUJARAT,11,66,2,1422,11,127,57,59,2001,958,464,19,98,10,3995,26,6,353,228
SURAT RURAL,0,501,GUJARAT,26,36,0,219,26,30,23,28,2001,66,153,8,62,9,1766,12,1,100,33
SURENDRANAGAR,0,1883,GUJARAT,11,45,0,204,11,73,29,13,2001,36,168,17,38,9,3113,7,1,103,32
VADODARA COMMR.,0,2601,GUJARAT,3,104,0,997,3,151,35,39,2001,449,548,14,34,7,5047,4,3,244,182
VADODARA RURAL,0,1877,GUJARAT,18,67,1,210,18,34,38,21,2001,24,186,13,71,10,3137,15,0,67,56
VALSAD,0,1802,GUJARAT,9,50,3,432,9,40,16,25,2001,135,297,8,44,12,3109,22,2,246,37
W.RLY,0,267,GUJARAT,1,10,0,901,1,7,0,87,2001,2,899,8,15,1,1421,7,2,31,10
TOTAL,0,50719,GUJARAT,286,1748,94,15834,286,1930,998,991,2001,5504,10330,537,1226,449,103419,327,55,5142,1779
AMBALA,0,985,HARYANA,11,13,2,365,11,5,38,18,2001,154,211,23,26,11,2346,2,0,316,76
BHIWANI,0,849,HARYANA,10,26,8,190,10,109,9,19,2001,120,70,20,40,16,1855,0,1,132,54
FARIDABAD,0,3531,HARYANA,37,117,7,668,37,133,78,44,2001,444,224,38,68,14,5808,7,6,236,61
FATEHABAD,0,468,HARYANA,17,1,2,141,17,11,20,11,2001,61,80,23,18,6,1214,3,2,96,52
GRP,0,346,HARYANA,0,1,0,169,0,9,2,5,2001,35,134,3,24,0,615,0,2,1,3
GURGAON,0,1530,HARYANA,32,55,5,794,32,78,50,51,2001,435,359,30,69,20,3502,4,2,294,29
HISSAR,0,1177,HARYANA,10,23,7,438,10,28,26,27,2001,258,180,53,45,8,2830,2,2,244,159
JHAJJAR,0,466,HARYANA,21,21,2,183,21,68,14,25,2001,66,117,28,48,0,1501,2,1,98,50
JIND,0,512,HARYANA,21,66,6,148,21,71,12,28,2001,66,82,21,37,2,1452,2,3,151,51
KAITHAL,0,396,HARYANA,16,60,8,144,16,0,9,9,2001,66,78,15,33,28,1195,3,1,103,16
KARNAL,0,335,HARYANA,44,20,7,468,44,47,31,16,2001,194,274,24,42,11,2383,8,2,208,59
KURUKSHETRA,0,738,HARYANA,31,20,4,343,31,0,14,13,2001,131,212,8,20,4,1753,5,1,132,130
MAHENDRAGARH,0,611,HARYANA,11,34,0,116,11,47,13,1,2001,32,84,10,26,21,1169,1,1,59,9
PANCHKULA,0,440,HARYANA,6,22,1,226,6,1,18,5,2001,95,131,7,12,2,1054,1,2,118,19
PANIPAT,0,513,HARYANA,38,20,3,415,38,35,19,47,2001,243,172,26,43,7,1895,20,1,182,53
REWARI,0,638,HARYANA,11,10,4,155,11,39,13,7,2001,72,83,13,21,23,1214,0,0,86,19
ROHTAK,0,534,HARYANA,28,18,1,365,28,37,13,29,2001,203,162,29,57,10,1856,5,4,229,58
SIRSA,0,645,HARYANA,17,14,5,240,17,24,18,5,2001,108,132,33,37,6,1768,2,1,194,43
SONIPAT,0,607,HARYANA,15,10,4,347,15,6,26,28,2001,165,182,49,73,8,1944,5,3,130,43
YAMUNANAGAR,0,585,HARYANA,22,5,2,202,22,2,26,9,2001,74,128,14,42,6,1405,5,2,100,32
TOTAL,0,15906,HARYANA,398,556,78,6117,398,750,449,397,2001,3022,3095,467,781,203,38759,77,37,3109,1016
BILASPUR,0,625,HIMACHAL PRADESH,5,11,0,49,5,76,10,3,2001,13,36,10,8,20,1074,2,0,50,12
CHAMBA,0,213,HIMACHAL PRADESH,12,5,0,29,12,6,17,1,2001,4,25,3,13,8,555,0,0,92,8
G.R.P.,0,1,HIMACHAL PRADESH,0,0,0,1,0,1,0,0,2001,0,1,0,1,0,4,0,0,0,0
HAMIRPUR,0,362,HIMACHAL PRADESH,3,5,1,17,3,26,3,1,2001,1,16,5,2,7,747,0,0,29,11
KANGRA,0,1119,HIMACHAL PRADESH,18,1,3,108,18,125,30,4,2001,26,82,16,24,26,2035,1,1,146,29
KINNAUR,0,64,HIMACHAL PRADESH,6,2,0,2,6,4,3,0,2001,0,2,0,5,1,147,0,0,24,0
KULLU,0,398,HIMACHAL PRADESH,13,3,0,17,13,27,7,1,2001,5,12,1,13,6,630,0,1,50,7
LAHAUL-SPITI,0,24,HIMACHAL PRADESH,2,0,0,1,2,2,1,1,2001,0,1,0,1,1,50,0,0,5,1
MANDI,0,963,HIMACHAL PRADESH,16,6,0,64,16,83,11,3,2001,18,46,8,18,34,1747,0,0,107,22
SHIMLA,0,1127,HIMACHAL PRADESH,18,13,2,188,18,122,13,7,2001,42,146,13,14,13,1964,0,0,170,31
SIRMAUR,0,361,HIMACHAL PRADESH,10,2,0,27,10,56,13,4,2001,8,19,5,3,4,703,0,0,37,12
SOLAN,0,476,HIMACHAL PRADESH,12,17,4,59,12,62,13,1,2001,16,43,8,11,9,1130,0,0,77,7
UNA,0,319,HIMACHAL PRADESH,9,4,1,38,9,38,5,2,2001,9,29,6,6,5,713,1,0,57,6
TOTAL,0,6052,HIMACHAL PRADESH,124,69,11,600,124,628,126,28,2001,142,458,75,119,134,11499,4,2,844,146
ANANTNAG,0,435,JAMMU & KASHMIR,6,5,0,83,6,67,59,16,2001,15,68,41,74,51,1104,5,0,126,28
AWANTIPORA,0,196,JAMMU & KASHMIR,1,0,0,19,1,10,14,4,2001,1,18,3,25,9,316,0,1,21,1
BARAMULLA,0,492,JAMMU & KASHMIR,28,3,2,156,28,146,75,16,2001,19,137,155,144,40,1533,2,2,114,11
BORDER,0,480,JAMMU & KASHMIR,12,6,0,19,12,15,10,0,2001,2,17,42,6,2,708,0,0,24,16
BUDGAM,0,241,JAMMU & KASHMIR,7,3,6,94,7,88,40,2,2001,5,89,103,78,13,812,0,0,65,6
CRIME JAMMU,0,0,JAMMU & KASHMIR,0,0,0,0,0,0,0,0,2001,0,0,0,0,0,27,0,0,0,27
CRIME SRINAGAR,0,0,JAMMU & KASHMIR,0,8,0,0,0,0,0,0,2001,0,0,0,0,0,69,0,0,0,61
DODA,0,202,JAMMU & KASHMIR,7,6,0,18,7,17,15,6,2001,0,18,147,104,40,627,2,0,19,4
GANDERBAL,0,132,JAMMU & KASHMIR,5,0,2,44,5,50,33,0,2001,7,37,8,24,13,395,1,1,28,3
JAMMU,0,2187,JAMMU & KASHMIR,13,10,6,479,13,103,43,4,2001,210,269,82,27,13,3607,0,5,238,62
KARGIL,0,62,JAMMU & KASHMIR,0,0,0,6,0,5,2,0,2001,3,3,0,0,3,82,0,0,2,0
KATHUA,0,477,JAMMU & KASHMIR,13,0,1,37,13,43,11,2,2001,4,33,28,16,15,817,1,0,50,8
KULGAM,0,272,JAMMU & KASHMIR,6,5,2,43,6,77,35,17,2001,5,38,16,39,34,635,1,0,36,6
KUPWARA,0,280,JAMMU & KASHMIR,6,8,0,39,6,74,47,1,2001,1,38,269,141,22,1027,0,0,36,10
LEH,0,107,JAMMU & KASHMIR,0,3,0,6,0,5,1,0,2001,0,6,1,3,0,137,0,0,7,3
POONCH,0,241,JAMMU & KASHMIR,13,3,0,67,13,30,16,0,2001,0,67,189,100,40,766,1,0,13,6
PULWAMA,0,261,JAMMU & KASHMIR,7,3,0,144,7,127,37,27,2001,16,128,90,46,23,883,1,1,66,10
RAILWAYS,0,11,JAMMU & KASHMIR,0,0,0,3,0,0,0,0,2001,0,3,1,1,0,17,0,0,1,0
RAJOURI,0,602,JAMMU & KASHMIR,17,4,1,21,17,3,20,4,2001,0,21,97,76,18,965,2,0,28,14
RAMBAN,0,346,JAMMU & KASHMIR,3,5,1,12,3,2,7,1,2001,1,11,50,51,19,537,1,0,11,3
