DISTRICT,CUSTODIAL RAPE,OTHER IPC CRIMES,STATE/UT,OTHER RAPE,CRIMINAL BREACH OF TRUST,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,THEFT,RAPE,RIOTS,KIDNAPPING & ABDUCTION,ROBBERY,YEAR,AUTO THEFT,OTHER THEFT,ATTEMPT TO MURDER,MURDER,ARSON,TOTAL IPC CRIMES,DACOITY,COUNTERFIETING,BURGLARY,CHEATING
BHABHUA,0,924,BIHAR,6,16,0,212,6,155,39,29,2010,31,181,54,65,8,1883,11,0,51,28
BHAGALPUR,0,1186,BIHAR,22,30,4,533,22,197,86,27,2010,229,304,135,73,34,3220,3,1,127,91
BHOJPUR,0,1976,BIHAR,15,20,0,458,15,234,72,62,2010,125,333,36,111,14,3969,25,0,85,97
BUXAR,0,654,BIHAR,12,3,1,300,12,204,55,44,2010,77,223,98,57,2,2180,21,1,75,35
DARBHANGA,0,2294,BIHAR,18,59,23,399,18,319,97,19,2010,171,228,167,59,24,4308,13,0,75,286
GAYA,0,2514,BIHAR,22,21,12,701,22,319,109,103,2010,214,487,35,139,21,4706,48,1,138,117
GOPALGANJ,0,767,BIHAR,18,19,3,205,18,189,109,22,2010,31,174,53,76,13,2779,6,0,68,118
JAMALPUR RLY.,0,52,BIHAR,0,0,1,148,0,6,7,7,2010,18,130,1,3,0,246,11,0,1,4
JAMUI,0,277,BIHAR,20,8,19,150,20,139,57,42,2010,25,125,143,81,21,1880,20,0,46,32
JEHANABAD,0,866,BIHAR,8,20,3,246,8,149,42,13,2010,62,184,13,43,10,1832,13,2,63,54
KATIHAR,0,1026,BIHAR,55,18,2,200,55,207,119,20,2010,46,154,47,90,10,2488,6,0,63,71
KATIHAR RLY.,0,86,BIHAR,1,1,0,223,1,9,8,5,2010,10,213,1,14,1,419,3,0,9,4
KHAGARIA,0,501,BIHAR,5,6,7,123,5,164,36,15,2010,20,103,104,63,11,1860,9,1,20,22
KISHANGANJ,0,475,BIHAR,24,15,7,131,24,108,50,10,2010,43,88,41,36,16,1234,4,2,53,26
LAKHISARAI,0,225,BIHAR,10,25,0,111,10,125,40,20,2010,15,96,45,43,8,1316,16,0,51,26
MADHEPURA,0,971,BIHAR,11,19,1,146,11,194,61,48,2010,30,116,81,54,4,1877,4,0,23,18
MADHUBANI,0,1841,BIHAR,30,0,0,458,30,340,141,31,2010,165,293,10,73,0,4319,20,1,65,26
MOTIHARI,0,2045,BIHAR,25,64,66,527,25,450,173,76,2010,128,399,417,169,36,5546,23,4,119,93
MUNGER,0,842,BIHAR,11,29,1,217,11,165,80,39,2010,52,165,98,82,14,2052,26,1,54,52
MUZAFFARPUR,0,3442,BIHAR,52,41,12,962,52,419,229,63,2010,407,555,11,148,31,6541,44,0,192,122
MUZAFFARPUR RLY.,0,78,BIHAR,1,0,0,304,1,6,7,6,2010,39,265,19,15,0,524,7,2,9,9
NALANDA,0,2374,BIHAR,26,48,19,318,26,178,93,36,2010,18,300,75,117,14,4411,6,6,98,87
NAUGACHIA,0,519,BIHAR,8,21,5,52,8,126,36,11,2010,7,45,31,39,4,1216,2,0,13,36
NAWADAH,0,1041,BIHAR,11,22,2,168,11,112,65,18,2010,27,141,17,73,11,2286,6,3,50,37
PATNA,0,7932,BIHAR,50,11,5,2627,50,516,283,184,2010,1308,1319,20,304,2,14036,42,12,594,591
PATNA RLY.,0,320,BIHAR,1,2,2,726,1,24,10,16,2010,39,687,8,10,0,1181,5,0,4,25
PURNEA,0,1489,BIHAR,40,71,11,172,40,145,106,23,2010,9,163,130,80,35,2959,11,0,68,119
ROHTAS,0,2151,BIHAR,27,31,45,589,27,228,115,73,2010,99,490,82,132,3,4488,43,0,134,19
SAHARSA,0,715,BIHAR,7,35,0,108,7,251,51,35,2010,12,96,102,39,14,1795,6,0,45,59
SAMASTIPUR,0,1973,BIHAR,36,26,12,369,36,317,189,54,2010,103,266,215,119,36,4063,10,1,107,52
SARAN,0,495,BIHAR,23,40,16,488,23,344,136,56,2010,66,422,90,112,40,4050,19,0,112,96
SHEIKHPURA,0,415,BIHAR,2,5,0,82,2,69,22,12,2010,2,80,2,22,10,923,3,0,18,33
SHEOHAR,0,269,BIHAR,3,3,0,60,3,41,17,7,2010,7,53,3,21,4,546,15,0,19,12
